source_id,accepted_features,rejected_records
us-census-tiger-2025-roads-44001,1480,15
us-census-tiger-2025-roads-44003,5475,106
us-census-tiger-2025-roads-44005,3721,24
us-census-tiger-2025-roads-44007,12932,214
us-census-tiger-2025-roads-44009,6323,393
