artifacts/world-roads/gb/sj.pmtiles: decoded=22614, absent=4964, failures=0, layers (land, green, water, road_surface, building, boundary, waterway, major, collector, local, place)=[0, 0, 0, 0, 0, 0, 0, 182136, 355073, 1041617, 0]
artifacts/world-roads/gb/sk.pmtiles: decoded=23357, absent=6577, failures=0, layers (land, green, water, road_surface, building, boundary, waterway, major, collector, local, place)=[0, 0, 0, 0, 0, 0, 0, 132569, 318453, 822861, 0]
artifacts/world-roads/gb/sm.pmtiles: decoded=1720, absent=1360, failures=0, layers (land, green, water, road_surface, building, boundary, waterway, major, collector, local, place)=[0, 0, 0, 0, 0, 0, 0, 5072, 16136, 28032, 0]
artifacts/world-roads/gb/sn.pmtiles: decoded=15331, absent=9935, failures=0, layers (land, green, water, road_surface, building, boundary, waterway, major, collector, local, place)=[0, 0, 0, 0, 0, 0, 0, 30959, 113265, 175441, 0]
artifacts/world-roads/gb/so.pmtiles: decoded=22290, absent=5752, failures=0, layers (land, green, water, road_surface, building, boundary, waterway, major, collector, local, place)=[0, 0, 0, 0, 0, 0, 0, 88311, 264843, 500429, 0]
artifacts/world-roads/gb/sp.pmtiles: decoded=22609, absent=2732, failures=0, layers (land, green, water, road_surface, building, boundary, waterway, major, collector, local, place)=[0, 0, 0, 0, 0, 0, 0, 126772, 339182, 842057, 0]
artifacts/world-roads/gb/sr.pmtiles: decoded=162, absent=88, failures=0, layers (land, green, water, road_surface, building, boundary, waterway, major, collector, local, place)=[0, 0, 0, 0, 0, 0, 0, 0, 990, 1697, 0]
artifacts/world-roads/gb/ss.pmtiles: decoded=9762, absent=16566, failures=0, layers (land, green, water, road_surface, building, boundary, waterway, major, collector, local, place)=[0, 0, 0, 0, 0, 0, 0, 30125, 111697, 219024, 0]
artifacts/world-roads/gb/st.pmtiles: decoded=19880, absent=6519, failures=0, layers (land, green, water, road_surface, building, boundary, waterway, major, collector, local, place)=[0, 0, 0, 0, 0, 0, 0, 94872, 320518, 640419, 0]
artifacts/world-roads/gb/su.pmtiles: decoded=21525, absent=2757, failures=0, layers (land, green, water, road_surface, building, boundary, waterway, major, collector, local, place)=[0, 0, 0, 0, 0, 0, 0, 118089, 313804, 802684, 0]
artifacts/world-roads/gb/sv.pmtiles: decoded=77, absent=78, failures=0, layers (land, green, water, road_surface, building, boundary, waterway, major, collector, local, place)=[0, 0, 0, 0, 0, 0, 0, 326, 328, 1125, 0]
artifacts/world-roads/gb/sw.pmtiles: decoded=3958, absent=6457, failures=0, layers (land, green, water, road_surface, building, boundary, waterway, major, collector, local, place)=[0, 0, 0, 0, 0, 0, 0, 12916, 67979, 117240, 0]
artifacts/world-roads/gb/sx.pmtiles: decoded=10073, absent=5346, failures=0, layers (land, green, water, road_surface, building, boundary, waterway, major, collector, local, place)=[0, 0, 0, 0, 0, 0, 0, 32176, 157285, 240914, 0]
artifacts/world-roads/gb/sy.pmtiles: decoded=3471, absent=3961, failures=0, layers (land, green, water, road_surface, building, boundary, waterway, major, collector, local, place)=[0, 0, 0, 0, 0, 0, 0, 9687, 44811, 83980, 0]
artifacts/world-roads/gb/sz.pmtiles: decoded=2193, absent=3555, failures=0, layers (land, green, water, road_surface, building, boundary, waterway, major, collector, local, place)=[0, 0, 0, 0, 0, 0, 0, 15333, 46852, 129712, 0]
artifacts/world-roads/gb/ta.pmtiles: decoded=5130, absent=6210, failures=0, layers (land, green, water, road_surface, building, boundary, waterway, major, collector, local, place)=[0, 0, 0, 0, 0, 0, 0, 20934, 53821, 169316, 0]
artifacts/world-roads/gb/tf.pmtiles: decoded=15862, absent=10332, failures=0, layers (land, green, water, road_surface, building, boundary, waterway, major, collector, local, place)=[0, 0, 0, 0, 0, 0, 0, 33693, 142286, 215742, 0]
artifacts/world-roads/gb/tg.pmtiles: decoded=4616, absent=1797, failures=0, layers (land, green, water, road_surface, building, boundary, waterway, major, collector, local, place)=[0, 0, 0, 0, 0, 0, 0, 16278, 73463, 119098, 0]
artifacts/world-roads/gb/tl.pmtiles: decoded=22089, absent=4796, failures=0, layers (land, green, water, road_surface, building, boundary, waterway, major, collector, local, place)=[0, 0, 0, 0, 0, 0, 0, 85933, 278047, 613286, 0]
artifacts/world-roads/gb/tm.pmtiles: decoded=8369, absent=6205, failures=0, layers (land, green, water, road_surface, building, boundary, waterway, major, collector, local, place)=[0, 0, 0, 0, 0, 0, 0, 23222, 116118, 183641, 0]
artifacts/world-roads/gb/tq.pmtiles: decoded=20628, absent=3850, failures=0, layers (land, green, water, road_surface, building, boundary, waterway, major, collector, local, place)=[0, 0, 0, 0, 0, 0, 0, 295409, 433211, 1463822, 0]
artifacts/world-roads/gb/tr.pmtiles: decoded=3273, absent=4904, failures=0, layers (land, green, water, road_surface, building, boundary, waterway, major, collector, local, place)=[0, 0, 0, 0, 0, 0, 0, 19848, 52440, 110593, 0]
artifacts/world-roads/gb/tv.pmtiles: decoded=123, absent=87, failures=0, layers (land, green, water, road_surface, building, boundary, waterway, major, collector, local, place)=[0, 0, 0, 0, 0, 0, 0, 1293, 1843, 8155, 0]
